ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12014622,JD192038,03/14/2020 12:00:00 PM,040XX W ADAMS ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1115,011,28,26,11,1149533,1898706,2020,03/25/2020 03:45:43 PM,41.877968264,-87.726416085,"(41.877968264, -87.726416085)"
12012598,JD189613,03/18/2020 03:05:00 PM,100XX S HOXIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0431,004,7,51,08B,1195130,1838850,2020,03/25/2020 03:47:29 PM,41.712713219,-87.560972132,"(41.712713219, -87.560972132)"
12013721,JD190060,03/18/2020 08:00:00 PM,063XX S LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0813,008,13,64,08B,1141492,1862073,2020,03/25/2020 03:47:29 PM,41.777594001,-87.756843658,"(41.777594001, -87.756843658)"
12015263,JD189432,03/18/2020 12:30:00 PM,092XX S COLFAX AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,false,true,0423,004,7,48,04A,1195116,1844185,2020,03/25/2020 03:47:29 PM,41.727353298,-87.560848088,"(41.727353298, -87.560848088)"
12014018,JD191361,03/14/2020 04:02:00 PM,021XX W 83RD ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0614,006,18,71,06,1163356,1849583,2020,03/25/2020 03:45:43 PM,41.742889484,-87.677038694,"(41.742889484, -87.677038694)"
12013311,JD189842,03/18/2020 06:45:00 PM,041XX W ADAMS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,true,1115,011,28,26,14,1148839,1898690,2020,03/25/2020 03:47:29 PM,41.877937797,-87.728964722,"(41.877937797, -87.728964722)"
12014881,JD192239,03/10/2020 07:55:00 AM,020XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),false,false,0131,001,3,33,06,1177530,1890539,2020,03/25/2020 03:45:43 PM,41.854968236,-87.623866311,"(41.854968236, -87.623866311)"
12012343,JD189407,03/18/2020 12:00:00 AM,061XX S MAJOR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0812,008,13,64,14,1139452,1863366,2020,03/25/2020 03:47:29 PM,41.781179509,-87.764291098,"(41.781179509, -87.764291098)"
12014423,JD191725,03/14/2020 06:40:00 PM,055XX N KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1712,017,39,13,14,1154047,1936545,2020,03/25/2020 03:45:43 PM,41.981712678,-87.708829703,"(41.981712678, -87.708829703)"
12012801,JD189824,03/18/2020 05:55:00 PM,012XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1022,010,24,29,06,1155223,1894230,2020,03/25/2020 03:47:29 PM,41.865573338,-87.705643842,"(41.865573338, -87.705643842)"
